instance,0,v_num,time,1,v_num,time,2,v_num,time,3,v_num,time,4,v_num,time,5,v_num,time,6,v_num,time,7,v_num,time,8,v_num,time,9,v_num,time,best,average,average_time
 Range_150/ins_400_1.txt,795.53,11,548.558,795.53,11,436.828,795.53,11,103.878,795.53,11,72.248,795.53,11,6.189,796.7,10,11.851,795.53,11,110.001,795.53,11,363.371,795.53,11,30.075,795.53,11,58.288,795.53,795.65,174.13
 Range_150/ins_400_2.txt,779.63,9,46.767,779.63,9,25.302,779.63,9,82.404,779.63,9,28.005,779.63,9,9.952,779.63,9,50.93,779.63,9,46.392,779.63,9,72.193,779.63,9,35.881,779.63,9,34.201,779.63,779.63,43.2
 Range_150/ins_400_3.txt,814.14,10,104.527,814.14,10,119.661,814.14,10,29.852,814.14,10,48.601,814.14,10,40.708,814.14,10,13.356,814.14,10,90.657,814.14,10,24.226,814.14,10,40.695,814.14,10,49.868,814.14,814.14,56.22
 Range_150/ins_500_1.txt,792.21,11,34.858,792.21,11,343.199,792.21,11,11.747,792.21,11,91.583,792.21,11,811.458,792.21,11,76.645,792.21,11,3.929,792.21,11,199.171,792.21,11,207.733,792.21,11,93.106,792.21,792.21,187.34
 Range_150/ins_500_2.txt,779.35,9,197.828,779.35,9,89.351,779.35,9,40.321,779.35,9,262.784,779.35,9,8.81,779.35,9,26.437,779.35,9,63.08,779.35,9,65.986,779.35,9,54.659,779.35,9,184.302,779.35,779.35,99.36
 Range_150/ins_500_3.txt,808.37,13,527.165,808.37,13,340.533,808.5,12,703.815,808.5,12,666.036,808.5,12,196.074,808.37,13,350.308,808.54,11,269.276,808.54,11,798.61,808.37,13,186.992,808.54,11,733.182,808.37,808.46,477.2
 RangeL/Range100_ins_1000_1.txt,5299.98,86,495.508,5295.77,82,580.52,5248.28,80,643.909,5187.89,78,831.956,5266.66,80,394.48,5336.3,82,379.369,5354.71,89,306.299,5238.57,77,831.75,5334.79,83,461.653,5276.08,83,774.389,5187.89,5283.9,569.98
 RangeL/Range100_ins_1000_2.txt,5245.08,79,994.862,5316.62,82,967.58,5250.09,81,445.303,5382.3,82,935.035,5229.16,86,849.927,5288.21,80,533.002,5317.88,86,775.229,5245.27,82,849.554,5318.23,82,934.112,5197.91,80,934.787,5197.91,5279.08,821.94
 RangeL/Range100_ins_1000_3.txt,5361.31,84,696.231,5301.4,79,770.336,5299.83,82,807.843,5376.52,81,373.324,5328.34,81,619.542,5375.29,84,823.807,5301.83,84,478.242,5366.26,84,333.481,5360.34,78,295.986,5424.63,84,628.065,5299.83,5349.58,582.69
 RangeL/Range100_ins_1500_1.txt,5393.54,82,531.837,5378.83,83,634.132,5352.9,84,625.444,5335.86,88,588.571,5327.53,85,502.426,5251.33,79,680.037,5269.57,84,931.03,5333.68,82,991.056,5348.53,83,734.305,5289.85,80,723.975,5251.33,5328.16,694.28
 RangeL/Range100_ins_1500_2.txt,5348.96,82,779.521,5345.56,85,347.747,5294.88,84,400.844,5268.5,83,923.846,5351.16,82,720.893,5407.58,85,465.586,5288.78,84,547.391,5246.91,85,988.828,5447.75,90,361.612,5323.47,79,756.803,5246.91,5332.36,629.31
 RangeL/Range100_ins_1500_3.txt,5411.84,88,524.67,5494.33,93,315.284,5503.45,87,991.362,5401.69,80,953.363,5434.27,91,415.439,5576.66,88,997.782,5377,84,981.645,5400.05,85,541.459,5630.28,87,386.038,5398.36,81,559.518,5377,5462.79,666.66
 RangeL/Range100_ins_3000_1.txt,5741.01,88,984.197,5698.8,87,994.298,5697.38,95,1000.548,5737.1,99,989.31,5733.02,95,981.694,5731.93,98,992.665,5621.58,91,812.085,5738.83,100,997.618,5745.83,101,989.425,5623.72,92,982.254,5621.58,5706.92,972.41
 RangeL/Range100_ins_3000_2.txt,5732.44,91,956.69,5662.5,88,1000.42,5731.38,94,997.58,5703.7,96,998.471,5635.33,92,985.939,5708.5,95,1000.462,5837.76,92,997.204,5792.36,98,1001.454,5733.25,95,946.615,5530.85,90,1000.942,5530.85,5706.81,988.58
 RangeL/Range100_ins_3000_3.txt,5809.08,90,949.165,5590.78,93,947.841,5765.24,98,950.157,5686.54,93,998.32,5499.46,94,994.915,5609.45,93,999.119,5672.49,94,998.601,5709.92,95,969.723,5708.85,92,980.006,5585.11,96,985.778,5499.46,5663.69,977.36
 RangeL/Range300_ins_1000_1.txt,1631.02,10,493.526,1631.02,10,670.822,1634.88,9,198.977,1646.49,10,107.751,1631.02,10,363.303,1634.94,10,635.254,1634.76,10,730.62,1631.03,10,905.426,1654.97,11,31.657,1634.58,10,857.204,1631.02,1636.47,499.45
 RangeL/Range300_ins_1000_2.txt,1634.11,10,341.179,1637.9,10,289.423,1634.11,10,75.767,1633.6,11,793.789,1634.51,11,790.136,1634.11,10,758.288,1633.6,11,55.845,1633.6,11,243.858,1633.6,11,659.436,1634.11,10,316.78,1633.6,1634.33,432.45
